Date,Close,Volume,Volume2,Open,High,Low
20210305,17050,1233139,21240,16900,17600,16850
20210304,16750,490720,8244,17000,17200,16550
20210303,17000,1048157,17738,16450,17150,16400
20210302,16600,807143,13267,16250,16650,16100
20210226,16100,679141,10832,15750,16250,15750
20210225,15950,315622,5020,15850,16000,15800
20210224,15600,760250,12100,16000,16300,15600
20210223,16000,769746,12298,15900,16150,15800
20210222,15700,1271128,19910,15150,16000,15050
20210219,15000,353566,5252,15000,15050,14750
20210218,14950,209089,3149,15200,15200,14950
20210217,15050,344140,5130,15000,15150,14750
20210216,14900,261654,3904,15050,15100,14850
20210215,15050,209204,3143,15150,15150,14900
20210210,15050,344599,5162,15000,15150,14900
20210209,14900,638588,9555,15000,15300,14750
20210208,14850,655208,9732,14850,15050,14600
20210205,14500,896322,12992,14650,14650,14350
20210204,14550,814072,11880,14800,14900,14450
20210203,14850,727831,10943,15250,15300,14850
20210202,15200,498196,7608,15050,15650,14950
20210201,14900,1152343,17483,15650,15650,14900
20210129,15850,769460,12332,16250,16400,15800
20210128,16200,469344,7502,15750,16250,15250
20210127,16000,447317,7155,15900,16200,15750
20210126,15950,488952,7728,15800,16000,15650
20210125,15850,978548,15307,15350,16000,15350
20210122,15200,318540,4827,15350,15350,15000
20210121,15300,602210,9140,14900,15300,14850
20210120,14800,292242,4319,14700,14900,14700
20210119,14700,340999,5025,14700,14900,14400
20210118,14450,313963,4575,14900,14900,14450
20210115,14900,464413,6927,15150,15200,14700
20210114,15050,743867,11036,14550,15200,14450
20210113,14450,578264,8297,14150,14600,14050
20210112,14100,383200,5419,14200,14400,13950
20210111,14200,619909,8947,14750,14750,14200
20210108,14750,636942,9384,14900,15100,14550
20210107,14700,588139,8538,14350,14750,14250
20210106,14250,488126,6916,14150,14350,14050
20210105,14050,753918,10500,14100,14200,13800
20210104,14250,876899,12441,14650,14650,14000
20201230,14600,763534,11167,15100,15100,14500
20201229,15050,917229,13927,15550,15600,15000
20201228,16400,942427,15472,16700,16700,16150
20201224,16450,625185,10185,16300,16500,15950
20201223,16200,445513,7160,16000,16300,15900
20201222,15900,226773,3626,16000,16100,15900
20201221,16000,305417,4887,15900,16100,15800
20201218,16000,253169,4026,16050,16100,15800
20201217,16050,335174,5341,16050,16150,15700
20201216,16050,342715,5520,16250,16350,15950
20201215,16250,785552,12561,15600,16250,15500
20201214,15650,405764,6285,15500,15650,15250
20201211,15350,276672,4228,15100,15400,15100
20201210,15100,332966,4999,14800,15150,14700
20201209,14800,132265,1959,14800,14900,14700
20201208,14750,178363,2626,14750,14850,14650
20201207,14750,271508,4016,15000,15000,14700
20201204,15000,271206,4055,15050,15100,14850
20201203,15000,275131,4117,15100,15100,14800
20201202,15050,387582,5794,14900,15050,14800
20201201,14800,251458,3722,14550,15000,14550
20201130,14450,479550,7009,14700,14850,14450
20201127,14700,511862,7547,15000,15100,14600
20201126,15000,363758,5470,15350,15350,14950
20201125,15250,316662,4884,15550,15600,15250
20201124,15500,272404,4225,15600,15650,15350
20201123,15550,287552,4449,15300,15550,15300
20201120,15300,211788,3219,15100,15350,15050
20201119,15050,134217,2022,15150,15200,15000
20201118,15150,246543,3737,15150,15350,15050
20201117,15150,273871,4184,15400,15550,15100
20201116,15250,566842,8683,15200,15450,15050
20201113,14800,204390,3030,14850,15000,14700
20201112,14850,231195,3434,15150,15250,14700
20201111,15100,324015,4872,14700,15200,14700
20201110,14800,330623,4830,14400,14900,14150
20201109,14200,180500,2556,14300,14300,14050
20201106,14100,381520,5415,14600,14600,14000
20201105,14550,120413,1753,14500,14650,14400
20201104,14300,280564,4031,14750,15000,14100
20201103,14650,243633,3576,14550,14800,14450
20201102,14500,214543,3075,14000,14550,13900
20201030,13850,316946,4482,14500,14500,13850
20201029,14500,247070,3570,14500,14600,14300
20201028,14900,259706,3794,14450,14950,14350
20201027,14650,330214,4894,14950,15150,14500
20201026,15150,374551,5767,15550,15700,14950
20201023,15500,497951,7657,15200,15500,15000
20201022,15200,894578,13562,14550,15450,14400
20201021,14600,272112,3951,14400,14650,14350
20201020,14400,473953,6784,14100,14500,14050
20201019,14200,532316,7492,13700,14300,13650
20201016,13600,150632,2053,13550,13750,13500
20201015,13550,136509,1844,13550,13700,13400
20201014,13550,103368,1406,13700,13750,13500
20201013,13700,124562,1713,13950,14050,13650
20201012,13950,277783,3877,13900,14150,13850
