Date,Close,Volume,Volume2,Open,High,Low
20210325,10850,110408,1212,10900,11250,10700
20210324,11000,168647,1861,11250,11400,10800
20210323,11300,170712,1972,11900,12000,11250
20210322,11900,203529,2372,11500,11900,11350
20210319,11600,238981,2741,11150,11800,11150
20210318,11250,450862,5154,11250,11900,11100
20210317,11350,416771,4705,11550,11650,11050
20210316,11750,641004,7799,12500,12650,11700
20210315,12850,1736178,21953,12600,13200,11900
20210312,12900,5865405,70774,10250,12900,10000
20210311,10050,1690739,17500,11250,11450,9820
20210310,10850,6027792,64754,8710,11250,8710
20210309,8660,117308,1019,8940,8950,8590
20210308,8950,344930,3123,9030,9310,8880
20210305,17500,309300,5459,17550,18050,17350
20210304,17950,147612,2647,17850,18150,17650
20210303,18000,134146,2412,18350,18350,17850
20210302,18200,294499,5323,18650,18700,17600
20210226,18300,357685,6226,16900,18350,16550
20210225,17500,418722,7451,17900,18250,17250
20210224,17450,753877,13440,18350,18650,17150
20210223,18800,1817306,34898,20800,21300,18050
20210222,20200,5790062,115404,16900,21300,16200
20210219,16450,295950,4814,15900,16500,15800
20210218,15900,257665,4017,15150,16050,15050
20210217,15100,149152,2253,15500,15550,14900
20210216,15350,195056,3026,15600,16150,15200
20210215,15550,159030,2443,15750,15750,15200
20210210,15750,220793,3425,16150,16150,15100
20210209,16100,196080,3211,16750,16800,16100
20210208,16800,370594,6120,16400,16850,16050
20210205,16150,247455,3998,16100,16700,15800
20210204,15900,173084,2774,16400,16550,15600
20210203,16200,231163,3710,15950,16450,15550
20210202,15700,194392,3029,15150,15850,15100
20210201,15150,142021,2116,14700,15200,14450
20210129,15000,283021,4360,16200,16450,14700
20210128,16000,278171,4513,16100,16500,15900
20210127,16800,633891,10646,16600,17300,16100
20210126,16600,597409,9605,15750,16600,15450
20210125,15750,457235,7120,15900,15950,15200
20210122,15900,551016,8709,16600,16750,15400
20210121,16550,507315,8545,17050,17650,16250
20210120,17100,647819,10950,17100,17350,16650
20210119,17100,2466486,43446,17600,18550,16850
20210118,17750,5625767,98644,15600,19150,14900
20210115,15300,2985900,45429,14350,16500,13800
20210114,14600,6245571,93169,11900,15500,11900
20210113,11950,89941,1080,11950,12200,11850
20210112,11850,139159,1654,11700,12350,11600
20210111,11600,262205,3113,12400,12600,11350
20210108,12400,222213,2808,13000,13200,12350
20210107,12850,209195,2648,12550,12850,12500
20210106,12550,269510,3451,12550,13150,12550
20210105,12600,373021,4661,12850,12850,12200
20210104,13050,1475097,19415,12300,13800,12250
20201230,11850,519459,6242,11350,12800,11150
20201229,11350,190855,2108,11350,11450,11200
20201228,11200,119212,1341,11300,11400,11150
20201224,11300,394329,4515,10950,11750,10950
20201223,10800,97432,1064,11200,11200,10700
20201222,10750,80397,875,11150,11200,10700
20201221,11150,203568,2254,11100,11450,10800
20201218,11000,477609,5255,10650,11650,10650
20201217,10400,56010,581,10400,10450,10300
20201216,10350,70285,730,10400,10550,10300
20201215,10400,52743,550,10550,10550,10400
20201214,10550,58672,616,10800,10800,10300
20201211,10700,67793,726,10600,10850,10550
20201210,10650,87635,941,11050,11050,10550
20201209,11050,64878,713,11050,11250,10900
20201208,11000,68157,762,11450,11550,11000
20201207,11400,68275,773,11100,11550,11050
20201204,11000,600163,6226,11200,11200,10800
20201203,11300,35583,398,11600,11600,11100
20201202,11400,65412,745,11700,11700,11150
20201201,11600,41241,479,11750,11800,11550
20201130,11750,38716,456,11950,12000,11700
20201127,11950,37104,442,12150,12150,11850
20201126,12000,27100,324,12000,12100,11850
20201125,12000,57299,693,12300,12300,11800
20201124,12150,35415,429,12350,12350,12050
20201123,12150,51396,624,12350,12350,12000
20201120,12350,31803,393,12550,12550,12250
20201119,12350,33166,409,12350,12500,12250
20201118,12450,34260,421,12300,12450,12100
20201117,12300,39666,490,12400,12600,12250
20201116,12200,67009,824,12400,12850,12000
20201113,12350,76618,951,12250,12650,12150
20201112,12250,91345,1132,11950,12650,11950
20201111,11850,47009,561,12200,12300,11800
20201110,12200,65848,798,12400,12400,11750
20201109,12400,72860,899,12100,12700,12100
20201106,11900,71356,854,11950,12300,11750
20201105,11750,161791,1911,11850,12300,11350
20201104,11700,165635,1885,11050,11850,10650
20201103,11000,42499,466,11000,11050,10850
20201102,10850,30747,331,10750,10900,10400
20201030,10750,112344,1218,11250,11450,10650
20201029,10650,44330,462,10400,10650,10200
20201028,10750,64867,686,10500,10750,10400
20201027,10550,66387,703,10850,10850,10350
20201026,10850,115003,1273,11800,11800,10600
20201023,11850,53943,644,12150,12500,11800
20201022,12250,26174,320,12500,12500,12100
20201021,12500,19404,243,12600,12700,12300
20201020,12400,40952,502,12600,12600,11850
20201019,12600,72765,930,13150,13450,12600
20201016,13400,51593,694,13950,13950,13200
20201015,13850,52962,734,14150,14150,13700
20201014,14250,22339,318,14350,14400,14100
20201013,14150,38987,554,14500,14700,14050
20201012,14400,36668,526,14600,14800,14150
20201008,14300,28759,411,14450,14450,14100
20201007,14300,38543,553,14300,14550,14050
20201006,14300,70891,1018,14150,14650,14050
20201005,14050,38521,541,14100,14350,13800
20200929,14100,29436,414,14200,14300,13950
20200928,14000,25145,353,13800,14300,13800
20200925,13750,51764,718,14100,14300,13550
20200924,13950,88010,1255,14700,14700,13950
20200923,14900,98057,1486,15200,15700,14900
20200922,15200,89414,1351,15600,15600,14950
20200921,15650,324644,5102,15100,16450,14700
20200918,15050,77392,1163,15200,15400,14850
20200917,15200,64322,985,15500,15850,15150
20200916,15500,63679,975,15350,15550,15200
20200915,15400,73008,1137,15650,15850,15400
20200914,15650,60463,941,15700,15800,15400
20200911,15650,62483,965,15400,15750,15200
20200910,15450,64665,998,15700,15700,15300
20200909,15150,72135,1091,15000,15350,14950
20200908,15350,85302,1331,15850,15950,15350
20200907,15650,77260,1207,15850,16100,15400
20200904,15850,103133,1596,15100,15850,15100
20200903,16000,101200,1603,16100,16400,15350
20200902,16050,406140,6572,14850,16900,14850
20200901,15000,105986,1603,15150,15250,14950
20200831,14950,132707,1971,14900,15100,14700
20200828,15150,74153,1132,15550,15550,15100
20200827,15250,124443,1918,15850,15900,15200
20200826,15850,124408,1933,15750,15850,15250
20200825,15650,97331,1514,15450,15750,15400
20200824,15350,149311,2265,15400,15550,14900
20200821,15400,123516,1914,15950,15950,15200
20200820,15600,236111,3776,16750,16900,15500
20200819,17100,206383,3489,16800,17250,16450
20200818,16150,462252,7978,19000,19000,15900
20200814,18700,957243,18150,18950,19550,18100
20200813,18000,561442,9816,17100,18000,16800
20200812,16500,130883,2168,16800,16800,16450
20200811,16750,170497,2834,17100,17100,16450
20200810,16700,345559,5808,16900,17250,16300
20200807,16250,203918,3351,17000,17000,16200
20200806,16750,488642,8329,16650,17650,16550
20200805,16650,200386,3302,16800,16950,16050
20200804,16800,426235,7256,17450,17500,16600
20200803,16850,1120247,18257,15100,17100,15050
20200731,14700,225184,3324,14450,15050,14350
20200730,14350,168345,2431,14900,14900,14250
20200729,14850,296355,4312,14250,15000,13950
20200728,14100,212027,3021,14700,14750,13950
20200727,14400,331881,4834,14000,15200,14000
20200724,14550,613981,9121,15450,15650,14400
20200723,15850,941751,15043,16700,17000,15450
20200722,17200,6359639,130623,20000,24550,16900
20200721,25000,7692,193,26600,26600,24000
20200720,25650,7060,180,26250,26250,25050
20200717,26350,10530,270,26700,26700,25250
20200716,25800,4145,107,25950,25950,25600
20200715,25000,5812,147,25800,25800,24200
20200714,25750,12900,318,24500,25900,22800
20200713,23400,7893,182,22500,23500,22250
20200710,20900,12398,254,20000,21000,20000
20200709,19500,7874,151,18950,19600,18700
20200708,18950,658,12,17500,19400,17500
20200707,17250,3266,60,18950,18950,17250
20200706,18250,823,15,19400,19400,18250
20200703,18200,2276,41,18000,18500,18000
20200702,17500,2249,38,17000,17500,16100
20200701,16250,115,2,16100,16300,16100
20200630,16100,885,15,16250,16500,16100
20200629,15600,601,9,16000,16000,15600
20200626,16350,414,7,16000,16400,15900
20200625,15950,1082,17,15950,16000,15850
20200624,15900,34,1,15500,15900,15500
20200623,16000,110,2,16450,16450,16000
20200622,16350,25,0,15700,16350,15550
20200619,17350,28,0,15250,17350,15050
20200618,15100,1351,22,16800,17100,15100
20200617,15300,501,8,17000,17000,15300
20200616,16900,122,2,17250,17250,15600
20200615,15000,302,5,15000,15000,15000
20200612,15000,184,3,15000,15000,15000
20200611,16250,345,6,19900,19900,16250
20200610,18650,21,0,17950,19000,17950
20200609,17950,21,0,18150,18150,17950
20200608,15950,0,0,15950,15950,15950
20200605,15950,0,0,15950,15950,15950
20200604,15950,10,0,15950,15950,15950
20200603,15600,20,0,15600,15600,15600
20200602,15200,509,8,18900,18900,15050
20200601,16950,2,0,16950,16950,16950
20200529,14800,110,1,13250,14800,13250
20200528,12900,1100,14,13550,13600,12900
20200527,12550,433,6,13400,13400,12550
20200526,13050,978,13,14450,14450,13050
20200525,13050,1160,15,12100,14300,12100
20200522,12450,291,4,12500,12500,12450
20200521,12850,100,1,12850,12850,12850
20200520,12850,104,1,12450,12850,12450
20200519,12850,0,0,12850,12850,12850
20200518,12850,0,0,12850,12850,12850
20200515,12850,24,0,11200,12850,11200
20200514,11200,0,0,11200,11200,11200
20200513,11200,50,1,11000,11200,11000
20200512,11850,100,1,11850,11850,11850
20200511,11550,0,0,11550,11550,11550
20200508,11550,149,2,11950,11950,11550
20200507,11700,93,1,13900,13900,11700
20200506,12150,95,1,12150,12150,12150
20200504,12550,100,1,12550,12550,12550
20200429,12250,60,1,12250,12250,12250
20200428,12050,135,2,12500,12500,12000
20200427,13100,0,0,13100,13100,13100
20200424,13100,101,1,14300,14300,13100
20200423,14750,101,1,14050,14750,14050
20200422,14500,386,5,15000,15000,13300
20200421,15600,100,2,15600,15600,15600
20200420,16100,201,3,15700,16100,14000
20200417,16200,50,1,16200,16200,16200
20200416,15750,100,2,15750,15750,15750
20200414,16250,201,3,14000,16250,14000
20200413,15800,100,2,15800,15800,15800
20200410,16300,100,2,16300,16300,16300
20200409,16850,1,0,16850,16850,16850
20200408,14950,101,1,14150,14950,14150
20200407,14600,100,1,14600,14600,14600
20200406,15100,100,2,15100,15100,15100
20200403,15600,101,1,14750,15600,14750
20200402,15250,100,2,15250,15250,15250
20200401,15750,100,2,15750,15750,15750
20200331,16250,1,0,16250,16250,16250
20200330,14200,100,1,14200,14200,14200
20200327,14650,101,1,13850,14650,13850
20200326,14300,51,1,15500,15500,14300
20200325,14400,1,0,14400,14400,14400
20200324,14050,100,1,14050,14050,14050
20200323,14500,100,1,14500,14500,14500
20200320,14950,9,0,14950,14950,14950
20200319,15400,100,2,15400,15400,15400
20200318,15900,100,2,15900,15900,15900
20200317,16400,1,0,16400,16400,16400
20200316,14550,50,1,14550,14550,14550
20200313,14550,100,1,14550,14550,14550
20200312,15000,100,2,15000,15000,15000
20200311,15500,27,0,15500,15500,15500
20200310,16000,100,2,16000,16000,16000
20200309,16500,101,2,15800,16500,15800
20200306,16300,24,0,16300,16300,16300
20200305,16300,0,0,16300,16300,16300
20200304,16300,0,0,16300,16300,16300
20200303,16350,51,1,14200,16350,14200
20200302,15850,0,0,15850,15850,15850
20200228,15850,100,2,15850,15850,15850
20200227,16350,10,0,16350,16350,16350
20200226,16350,100,2,16350,16350,16350
20200225,16900,100,2,16900,16900,16900
20200224,17450,1,0,17450,17450,17450
20200221,16150,0,0,16150,16150,16150
20200220,16150,0,0,16150,16150,16150
20200219,16150,0,0,16150,16150,16150
20200218,16150,0,0,16150,16150,16150
20200217,16150,0,0,16150,16150,16150
20200214,16150,0,0,16150,16150,16150
20200213,16150,0,0,16150,16150,16150
20200212,16150,100,2,16150,16150,16150
20200211,16150,100,2,16150,16150,16150
20200210,16700,0,0,16700,16700,16700
20200207,16700,1,0,16700,16700,16700
20200206,16650,0,0,16650,16650,16650
20200205,16650,0,0,16650,16650,16650
20200204,16700,0,0,16700,16700,16700
20200203,16900,100,2,16900,16900,16900
20200131,17450,1,0,17450,17450,17450
20200130,16800,1,0,16800,16800,16800
20200129,15500,0,0,15500,15500,15500
20200128,15500,0,0,15500,15500,15500
20200123,15500,0,0,15500,15500,15500
20200122,15500,0,0,15500,15500,15500
20200121,15500,163,2,15300,15500,14500
20200120,15800,350,6,15900,15900,15800
20200117,16300,100,2,16300,16300,16300
20200116,16850,127,2,16900,16900,16850
20200115,16500,60,1,16500,16500,16500
20200114,16450,0,0,16450,16450,16450
20200113,16450,0,0,16450,16450,16450
20200110,16450,100,2,16450,16450,16450
20200109,17000,1,0,17000,17000,17000
20200108,16300,0,0,16300,16300,16300
20200107,16450,2,0,16450,16450,16450
20200106,17000,0,0,17000,17000,17000
20200103,17000,0,0,17000,17000,17000
20200102,17000,0,0,17000,17000,17000
20191230,17000,21,0,15000,17000,15000
20191227,15950,0,0,15950,15950,15950
20191226,15950,12,0,15950,15950,15950
20191224,16450,0,0,16450,16450,16450
20191223,16450,20,0,16450,16450,16450
20191220,16450,0,0,16450,16450,16450
20191219,16450,300,5,16450,16450,16450
20191218,16350,0,0,16350,16350,16350
20191217,16350,100,2,16350,16350,16350
20191216,16900,4,0,18500,18500,16900
20191213,16950,49951,749,15000,16950,15000
20191212,16350,101,2,16350,16350,16350
20191211,16900,1,0,16900,16900,16900
20191210,16450,0,0,16450,16450,16450
20191209,16450,1,0,16450,16450,16450
20191206,16050,0,0,16050,16050,16050
20191205,16050,100,2,16050,16050,16050
20191204,16550,0,0,16550,16550,16550
20191203,16550,0,0,16550,16550,16550
20191202,16550,0,0,16550,16550,16550
20191129,16550,1,0,16550,16550,16550
20191128,16150,337,5,16300,16300,16150
20191127,17400,100,2,17400,17400,17400
20191126,17950,2,0,18000,18000,17950
20191125,18000,1,0,18000,18000,18000
20191122,18000,46,1,17450,18000,17450
20191121,17450,0,0,17450,17450,17450
20191120,17450,0,0,17450,17450,17450
20191119,17450,0,0,17450,17450,17450
20191118,17450,0,0,17450,17450,17450
20191115,17450,0,0,17450,17450,17450
20191114,17450,0,0,17450,17450,17450
20191113,17450,0,0,17450,17450,17450
20191112,17450,0,0,17450,17450,17450
20191111,17450,0,0,17450,17450,17450
20191108,17450,0,0,17450,17450,17450
20191107,17450,100,2,17450,17450,17450
20191106,18000,0,0,18000,18000,18000
20191105,18000,10,0,18000,18000,18000
20191104,17550,0,0,17550,17550,17550
20191101,17550,100,2,17550,17550,17550
20191031,18100,100,2,18100,18100,18100
20191030,18700,1,0,18700,18700,18700
20191029,18050,100,2,18050,18050,18050
20191028,18650,161,3,18700,18700,16250
20191025,17450,0,0,17450,17450,17450
20191024,17450,0,0,17450,17450,17450
20191023,17450,0,0,17450,17450,17450
20191022,17450,0,0,17450,17450,17450
20191021,17450,109,2,17450,17450,17450
20191018,18000,0,0,18000,18000,18000
20191017,18200,100,2,18200,18200,18200
20191016,18800,1,0,18800,18800,18800
20191015,17900,100,2,17900,17900,17900
20191014,18500,108,2,18900,18900,16200
20191011,17500,436,8,18700,18700,17500
20191010,18700,0,0,18700,18700,18700
20191008,18700,0,0,18700,18700,18700
20191007,18700,4,0,18700,18700,18700
20191004,18700,1,0,18700,18700,18700
20191002,18400,4,0,18400,18400,18400
20191001,18400,770,14,18400,18400,18400
20190930,18250,102,2,18850,18850,18250
20190927,18850,0,0,18850,18850,18850
20190926,18850,1,0,18850,18850,18850
20190925,17100,76,1,16550,17100,16500
20190924,18950,277,5,18750,18950,18750
20190923,18800,0,0,18800,18800,18800
20190920,18800,1,0,18800,18800,18800
20190919,18650,0,0,18650,18650,18650
20190918,18650,0,0,18650,18650,18650
20190917,18650,0,0,18650,18650,18650
20190916,18650,0,0,18650,18650,18650
20190911,18650,0,0,18650,18650,18650
20190910,18650,0,0,18650,18650,18650
20190909,18700,0,0,18700,18700,18700
20190906,18700,1099,20,18400,18700,18150
20190905,18750,1,0,18750,18750,18750
20190904,18350,1,0,18350,18350,18350
20190903,17500,1380,24,18000,18000,17500
20190902,18000,1,0,18000,18000,18000
20190830,18000,1500,26,17800,18600,17500
20190829,17900,104,2,18400,18400,17900
20190828,18500,1,0,18500,18500,18500
20190827,17850,41,1,17300,17850,17300
20190826,17850,1,0,17850,17850,17850
20190823,17400,108,2,17400,17400,16850
20190822,17400,1,0,17400,17400,17400
20190821,17000,0,0,17000,17000,17000
20190820,17000,0,0,17000,17000,17000
20190819,17000,0,0,17000,17000,17000
20190816,17000,1,0,17000,17000,17000
20190814,16950,1,0,16950,16950,16950
20190813,16500,600,10,16500,16500,16500
20190812,17000,400,7,17000,17000,17000
20190809,16950,0,0,16950,16950,16950
20190808,16950,0,0,16950,16950,16950
